Period;Night-time distribution tariff (kWh);Day-time distribution tariff (kWh);Outdoor temperature (*C)
Thursday 7.1.2021 08:00;No metering data available for this period;2,50;-0,70
Thursday 7.1.2021 09:00;No metering data available for this period;2,10;-0,70
Thursday 7.1.2021 10:00;No metering data available for this period;2,67;-0,80
Thursday 7.1.2021 11:00;No metering data available for this period;1,59;-0,70
Thursday 7.1.2021 12:00;No metering data available for this period;1,79;-0,70
Thursday 7.1.2021 13:00;No metering data available for this period;1,40;-0,80
Thursday 7.1.2021 14:00;No metering data available for this period;1,51;-0,80
Thursday 7.1.2021 15:00;No metering data available for this period;3,74;-1,00
Thursday 7.1.2021 16:00;No metering data available for this period;3,41;-1,20
Thursday 7.1.2021 17:00;No metering data available for this period;2,10;-1,30
Thursday 7.1.2021 18:00;No metering data available for this period;1,90;-1,40
Thursday 7.1.2021 19:00;No metering data available for this period;1,74;-1,40
Thursday 7.1.2021 20:00;No metering data available for this period;2,71;-1,40
Thursday 7.1.2021 21:00;No metering data available for this period;1,98;-1,50
Thursday 7.1.2021 22:00;2,82;No metering data available for this period;-1,50
Thursday 7.1.2021 23:00;1,23;No metering data available for this period;-1,40
Friday 8.1.2021 00:00;1,29;No metering data available for this period;-1,50
Friday 8.1.2021 01:00;1,28;No metering data available for this period;-1,50
Friday 8.1.2021 02:00;1,26;No metering data available for this period;-1,50
Friday 8.1.2021 03:00;1,26;No metering data available for this period;-1,60
Friday 8.1.2021 04:00;1,19;No metering data available for this period;-1,70
Friday 8.1.2021 05:00;1,30;No metering data available for this period;-1,70
Friday 8.1.2021 06:00;1,50;No metering data available for this period;-1,80
Friday 8.1.2021 07:00;No metering data available for this period;3,27;-1,70
Friday 8.1.2021 08:00;No metering data available for this period;2,89;-1,80
Friday 8.1.2021 09:00;No metering data available for this period;2,63;-1,60
Friday 8.1.2021 10:00;No metering data available for this period;2,08;-1,70
Friday 8.1.2021 11:00;No metering data available for this period;1,62;-1,90
Friday 8.1.2021 12:00;No metering data available for this period;1,58;-1,90
Friday 8.1.2021 13:00;No metering data available for this period;1,68;-2,10
Friday 8.1.2021 14:00;No metering data available for this period;1,46;-2,10
Friday 8.1.2021 15:00;No metering data available for this period;1,77;-2,30
Friday 8.1.2021 16:00;No metering data available for this period;2,93;-2,20
Friday 8.1.2021 17:00;No metering data available for this period;2,00;-2,30
Friday 8.1.2021 18:00;No metering data available for this period;3,05;-2,30
Friday 8.1.2021 19:00;No metering data available for this period;2,80;-2,30
Friday 8.1.2021 20:00;No metering data available for this period;4,92;-2,30
Friday 8.1.2021 21:00;No metering data available for this period;3,62;-2,30
