Period;Night-time distribution tariff (kWh);Day-time distribution tariff (kWh);Outdoor temperature (*C)
Thursday 13.1.2022 18:00;No metering data available for this period;2,23;5,30
Thursday 13.1.2022 19:00;No metering data available for this period;2,55;5,40
Thursday 13.1.2022 20:00;No metering data available for this period;1,47;5,20
Thursday 13.1.2022 21:00;No metering data available for this period;1,53;5,10
Thursday 13.1.2022 22:00;1,88;No metering data available for this period;3,60
Thursday 13.1.2022 23:00;1,19;No metering data available for this period;3,70
Friday 14.1.2022 00:00;1,54;No metering data available for this period;3,90
Friday 14.1.2022 01:00;1,12;No metering data available for this period;3,90
Friday 14.1.2022 02:00;1,07;No metering data available for this period;3,70
Friday 14.1.2022 03:00;1,12;No metering data available for this period;3,40
Friday 14.1.2022 04:00;1,47;No metering data available for this period;3,30
Friday 14.1.2022 05:00;1,04;No metering data available for this period;3,00
Friday 14.1.2022 06:00;1,27;No metering data available for this period;2,50
Friday 14.1.2022 07:00;No metering data available for this period;2,20;2,10
Friday 14.1.2022 08:00;No metering data available for this period;1,55;1,90
Friday 14.1.2022 09:00;No metering data available for this period;2,09;1,70
Friday 14.1.2022 10:00;No metering data available for this period;1,78;1,80
Friday 14.1.2022 11:00;No metering data available for this period;1,41;2,00
Friday 14.1.2022 12:00;No metering data available for this period;1,28;2,00
Friday 14.1.2022 13:00;No metering data available for this period;1,29;2,10
Friday 14.1.2022 14:00;No metering data available for this period;1,81;1,90
Friday 14.1.2022 15:00;No metering data available for this period;1,19;1,60
Friday 14.1.2022 16:00;No metering data available for this period;1,72;1,70
Friday 14.1.2022 17:00;No metering data available for this period;2,20;1,40
Friday 14.1.2022 18:00;No metering data available for this period;1,17;0,90
Friday 14.1.2022 19:00;No metering data available for this period;1,49;0,80
Friday 14.1.2022 20:00;No metering data available for this period;1,49;0,80
Friday 14.1.2022 21:00;No metering data available for this period;2,91;0,80
Friday 14.1.2022 22:00;2,59;No metering data available for this period;1,10
Friday 14.1.2022 23:00;1,54;No metering data available for this period;1,70
Saturday 15.1.2022 00:00;1,45;No metering data available for this period;2,00
Saturday 15.1.2022 01:00;1,23;No metering data available for this period;2,10
Saturday 15.1.2022 02:00;1,24;No metering data available for this period;1,90
Saturday 15.1.2022 03:00;1,22;No metering data available for this period;1,70
Saturday 15.1.2022 04:00;1,33;No metering data available for this period;1,40
Saturday 15.1.2022 05:00;1,21;No metering data available for this period;0,90
Saturday 15.1.2022 06:00;1,43;No metering data available for this period;0,40
Saturday 15.1.2022 07:00;No metering data available for this period;1,31;0,00
Saturday 15.1.2022 08:00;No metering data available for this period;1,24;-0,40
Saturday 15.1.2022 09:00;No metering data available for this period;1,34;-0,50
Saturday 15.1.2022 10:00;No metering data available for this period;1,60;-0,30
Saturday 15.1.2022 11:00;No metering data available for this period;1,90;0,00
Saturday 15.1.2022 12:00;No metering data available for this period;1,42;0,40
Saturday 15.1.2022 13:00;No metering data available for this period;1,72;0,30
Saturday 15.1.2022 14:00;No metering data available for this period;1,54;-0,10
Saturday 15.1.2022 15:00;No metering data available for this period;1,98;-0,90
Saturday 15.1.2022 16:00;No metering data available for this period;2,12;-1,50
Saturday 15.1.2022 17:00;No metering data available for this period;1,88;-2,00
Saturday 15.1.2022 18:00;No metering data available for this period;4,05;-2,40
Saturday 15.1.2022 19:00;No metering data available for this period;5,51;-2,50
Saturday 15.1.2022 20:00;No metering data available for this period;2,27;-2,70
Saturday 15.1.2022 21:00;No metering data available for this period;3,15;-2,80
Saturday 15.1.2022 22:00;1,75;No metering data available for this period;-3,00
Saturday 15.1.2022 23:00;1,66;No metering data available for this period;-3,10
Sunday 16.1.2022 00:00;1,89;No metering data available for this period;-3,40
